type,name,label,x,y,pitch
supply,SUPPLY-01,SUPPLY,18,10,
pickup_slot,PICK-1,P1,17,9,
pickup_slot,PICK-2,P2,17,11,
drop_point,DP-130A-01,130A,4,16,
drop_point,DP-130A-02,130A,7,16,
drop_point,DP-130B-01,130B,10,16,
drop_point,DP-130C-01,130C,13,16,
drop_point,DP-140A-01,140A,4,13,
drop_point,DP-140B-01,140B,7,13,
drop_point,DP-140C-01,140C,10,13,
drop_point,DP-140D-01,140D,13,13,
drop_point,DP-200A-01,200A,4,10,
drop_point,DP-200B-01,200B,7,10,
drop_point,DP-200C-01,200C,10,10,
drop_point,DP-200D-01,200D,13,10,
drop_point,DP-209A-01,209A,4,7,
drop_point,DP-209B-01,209B,7,7,
drop_point,DP-209C-01,209C,10,7,
drop_point,DP-209D-01,209D,13,7,
drop_point,DP-209E-01,209E,4,4,
drop_point,DP-209F-01,209F,7,4,
drop_point,DP-209G-01,209G,10,4,
drop_point,DP-209H-01,209H,13,4,
agv,1,AGV1,20,7,180
agv,2,AGV2,20,7,180
agv,3,AGV3,20,7,180
agv,4,AGV4,20,7,180
agv,5,AGV5,20,7,180
agv,6,AGV6,20,7,180
agv,7,AGV7,20,7,180
agv,8,AGV8,20,7,180
agv,9,AGV9,20,7,180
agv,10,AGV10,20,7,180
agv,11,AGV11,20,7,180
agv,12,AGV12,20,7,180
agv,13,AGV13,20,7,180
agv,14,AGV14,20,7,180
agv,15,AGV15,20,7,180
agv,16,AGV16,20,7,180
agv,17,AGV17,20,7,180
agv,18,AGV18,20,7,180
agv,19,AGV19,20,7,180
agv,20,AGV20,20,7,180
