task_id,destination_id,destination_label,material,release_time,window_start,window_end,priority
T0001,DP-209F-01,209F,A料,5,30,70,Normal
T0019,DP-200A-01,200A,B料,8,33,63,Normal
T0037,DP-140B-02,140B,C料,11,36,58,Normal
T0004,DP-209E-01,209E,B料,11,36,60,Normal
T0055,DP-130A-03,130A,D料,14,39,69,Normal
T0022,DP-200B-01,200B,C料,14,39,62,Normal
T0040,DP-140C-02,140C,D料,17,42,76,Normal
T0073,DP-200A-03,200A,E料,17,42,78,Normal
T0007,DP-209D-01,209D,C料,17,42,75,Normal
T0058,DP-130B-03,130B,E料,20,45,77,Normal
T0091,DP-140B-04,140B,A料,20,45,65,Normal
T0025,DP-200C-01,200C,D料,20,45,84,Normal
T0043,DP-150-02,150,E料,23,48,79,Normal
T0076,DP-200B-03,200B,A料,23,48,72,Normal
T0010,DP-209C-01,209C,D料,23,48,84,Normal
T0028,DP-130A-02,130A,E料,26,51,88,Normal
T0061,DP-140A-03,140A,A料,26,51,99,Normal
T0094,DP-140C-04,140C,B料,26,51,98,Normal
T0046,DP-200A-02,200A,A料,29,54,94,Normal
T0079,DP-200C-03,200C,B料,29,54,76,Normal
T0013,DP-209B-01,209B,E料,29,54,96,Normal
T0031,DP-130B-02,130B,A料,32,57,86,Normal
T0064,DP-140B-03,140B,B料,32,57,105,Normal
T0097,DP-150-04,150,C料,32,57,83,Normal
T0082,DP-130A-04,130A,C料,35,60,88,Normal
T0049,DP-200B-02,200B,B料,35,60,103,Normal
T0016,DP-209A-01,209A,A料,35,60,88,Normal
T0034,DP-140A-02,140A,B料,38,63,105,Normal
T0067,DP-140C-03,140C,C料,38,63,90,Normal
T0100,DP-200A-04,200A,D料,38,63,112,Normal
T0085,DP-130B-04,130B,D料,41,66,107,Normal
T0052,DP-200C-02,200C,C料,41,66,115,Normal
T0038,DP-140B-02,140B,D料,44,69,116,Normal
T0070,DP-150-03,150,D料,44,69,102,Normal
T0103,DP-200B-04,200B,E料,44,69,92,Normal
T0005,DP-209E-01,209E,C料,44,69,110,Normal
T0023,DP-200B-01,200B,D料,46,71,103,Normal
T0088,DP-140A-04,140A,E料,47,72,102,Normal
T0020,DP-200A-01,200A,C料,50,75,99,Normal
T0106,DP-200C-04,200C,A料,50,75,102,Normal
T0056,DP-130A-03,130A,E料,52,77,104,Normal
T0092,DP-140B-04,140B,B料,52,77,113,Normal
T0002,DP-209F-01,209F,B料,54,79,99,Normal
T0008,DP-209D-01,209D,D料,58,83,103,Normal
T0059,DP-130B-03,130B,A料,64,89,111,Normal
T0044,DP-150-02,150,A料,65,90,131,Normal
T0077,DP-200B-03,200B,B料,65,90,115,Normal
T0080,DP-200C-03,200C,C料,65,90,122,Normal
T0098,DP-150-04,150,D料,68,93,124,Normal
T0074,DP-200A-03,200A,A料,68,93,115,Normal
T0041,DP-140C-02,140C,E料,69,94,140,Normal
T0026,DP-200C-01,200C,E料,71,96,141,Normal
