type,name,label,x,y,pitch
supply,SUPPLY-01,SUPPLY,29,10,
pickup_slot,PICK-1,P1,28,9,
pickup_slot,PICK-2,P2,28,11,
drop_point,DP-209F-01,209F,10,17,
drop_point,DP-209E-01,209E,12,17,
drop_point,DP-209D-01,209D,14,17,
drop_point,DP-209C-01,209C,16,17,
drop_point,DP-209B-01,209B,18,17,
drop_point,DP-209A-01,209A,20,17,
drop_point,DP-200A-01,200A,14,14,
drop_point,DP-200B-01,200B,17,14,
drop_point,DP-200C-01,200C,20,14,
drop_point,DP-130A-01,130A,3,11,
drop_point,DP-130B-01,130B,5,11,
drop_point,DP-140A-01,140A,7,11,
drop_point,DP-140B-01,140B,9,11,
drop_point,DP-140C-01,140C,11,11,
drop_point,DP-150-01,150,13,11,
drop_point,DP-200A-02,200A,15,11,
drop_point,DP-200B-02,200B,16,11,
drop_point,DP-200C-02,200C,19,11,
drop_point,DP-130A-02,130A,3,7,
drop_point,DP-130B-02,130B,5,7,
drop_point,DP-140A-02,140A,7,7,
drop_point,DP-140B-02,140B,9,7,
drop_point,DP-140C-02,140C,11,7,
drop_point,DP-150-02,150,13,7,
drop_point,DP-200A-03,200A,15,7,
drop_point,DP-200B-03,200B,17,7,
drop_point,DP-200C-03,200C,19,7,
drop_point,DP-130A-03,130A,3,4,
drop_point,DP-130B-03,130B,5,4,
drop_point,DP-140A-03,140A,7,4,
drop_point,DP-140B-03,140B,9,4,
drop_point,DP-140C-03,140C,11,4,
drop_point,DP-150-03,150,13,4,
drop_point,DP-200A-04,200A,15,4,
drop_point,DP-200B-04,200B,17,4,
drop_point,DP-200C-04,200C,19,4,
agv,1,AGV1,31,10,180
agv,2,AGV2,31,10,180
agv,3,AGV3,31,10,180
agv,4,AGV4,31,10,180
agv,5,AGV5,31,10,180
agv,6,AGV6,31,10,180
agv,7,AGV7,31,10,180
agv,8,AGV8,31,10,180
agv,9,AGV9,31,10,180
agv,10,AGV10,31,10,180
agv,11,AGV11,31,10,180
agv,12,AGV12,31,10,180
agv,13,AGV13,31,10,180
agv,14,AGV14,31,10,180
agv,15,AGV15,31,10,180
agv,16,AGV16,31,10,180
agv,17,AGV17,31,10,180
agv,18,AGV18,31,10,180
agv,19,AGV19,31,10,180
agv,20,AGV20,31,10,180
