task_id,destination_id,destination_label,material,agv_id,window_start,window_end,delivery_time,delay,distance,pickup
T0018,DP-200C-02,200C,M5,1,34,91,20,0,14,P1
T0026,DP-200B-03,200B,M1,1,22,91,56,34,32,P1
T0036,DP-200C-04,200C,M1,2,30,90,27,0,17,P1
T0015,DP-150-01,150,M2,2,28,87,68,40,37,P1
T0007,DP-200A-01,200A,M3,3,42,100,32,0,20,P2
T0009,DP-200C-01,200C,M3,3,32,80,72,40,36,P1
T0030,DP-140A-03,140A,M1,4,44,97,43,0,29,P1
T0020,DP-130B-02,130B,M3,5,45,100,45,0,30,P2
T0013,DP-140B-01,140B,M2,6,42,89,45,3,24,P1
T0003,DP-209D-01,209D,M1,7,38,96,41,3,23,P2
T0032,DP-140C-03,140C,M5,8,36,105,48,12,27,P2
T0029,DP-130B-03,130B,M1,9,37,109,55,18,31,P1
T0027,DP-200C-03,200C,M5,7,40,90,82,42,37,P1
T0017,DP-200B-02,200B,M2,6,40,90,92,52,43,P1
T0024,DP-150-02,150,M5,1,43,106,98,55,38,P2
T0005,DP-209B-01,209B,M4,8,37,88,99,62,46,P1
T0006,DP-209A-01,209A,M1,5,34,97,96,62,45,P2
T0016,DP-200A-02,200A,M1,4,31,82,99,68,49,P1
T0035,DP-200B-04,200B,M1,3,50,119,109,59,33,P1
T0033,DP-150-03,150,M5,9,47,112,116,69,56,P2
T0025,DP-200A-03,200A,M5,2,31,83,112,81,40,P1
T0022,DP-140B-02,140B,M2,7,35,92,124,89,38,P1
T0001,DP-209F-01,209F,M3,6,40,88,144,104,48,P1
T0008,DP-200B-01,200B,M1,5,26,101,134,108,34,P2
T0019,DP-130A-02,130A,M2,8,41,96,152,111,49,P1
T0004,DP-209C-01,209C,M5,1,26,78,144,118,41,P2
T0031,DP-140B-03,140B,M1,4,33,83,152,119,47,P1
T0034,DP-200A-04,200A,M2,3,26,75,153,127,40,P1
T0012,DP-140A-01,140A,M5,2,29,100,160,131,44,P2
T0023,DP-140C-02,140C,M5,9,24,76,165,141,45,P1
T0014,DP-140C-01,140C,M1,7,22,94,174,152,46,P1
T0021,DP-140A-02,140A,M2,5,26,100,181,155,43,P1
T0002,DP-209E-01,209E,M5,1,27,76,196,169,48,P1
T0028,DP-130A-03,130A,M5,6,32,89,208,176,60,P1
T0010,DP-130A-01,130A,M4,3,28,98,208,180,51,P1
T0011,DP-130B-01,130B,M1,4,23,97,211,188,85,P1
