timestamp,name,X,Y,pitch,loaded,destination,Emergency,task-id
0,Optimus,3,1,90,false,,false,
0,Bumblebee,6,1,90,false,,false,
0,Jazz,9,1,90,false,,false,
0,Sideswipe,12,1,90,false,,false,
0,Wheeljack,15,1,90,false,,false,
0,Ratchet,18,1,90,false,,false,
0,Ironhide,3,20,270,false,,false,
0,Hound,6,20,270,false,,false,
0,Smokescreen,9,20,270,false,,false,
0,Megatron,12,20,270,false,,false,
0,Bluestreak,15,20,270,false,,false,
0,RedAlert,18,20,270,false,,false,
1,Optimus,3,2,90,false,,false,
1,Bumblebee,6,1,180,false,,false,
1,Jazz,9,1,180,false,,false,
1,Sideswipe,12,2,90,false,,false,
1,Wheeljack,15,2,90,false,,false,
1,Ratchet,18,2,90,false,,false,
1,Ironhide,3,19,270,false,,false,
1,Hound,6,19,270,false,,false,
1,Smokescreen,9,19,270,false,,false,
1,Megatron,12,19,270,false,,false,
1,Bluestreak,15,19,270,false,,false,
1,RedAlert,18,19,270,false,,false,
2,Optimus,3,3,90,false,,false,
2,Bumblebee,5,1,180,false,,false,
2,Jazz,8,1,180,false,,false,
2,Sideswipe,12,3,90,false,,false,
2,Wheeljack,15,3,90,false,,false,
2,Ratchet,18,3,90,false,,false,
2,Ironhide,3,18,270,false,,false,
2,Hound,6,18,270,false,,false,
2,Smokescreen,9,18,270,false,,false,
2,Megatron,12,18,270,false,,false,
2,Bluestreak,15,18,270,false,,false,
2,RedAlert,18,18,270,false,,false,
3,Optimus,3,4,90,false,,false,
3,Bumblebee,4,1,180,false,,false,
3,Jazz,7,1,180,false,,false,
3,Sideswipe,12,3,0,false,,false,
3,Wheeljack,15,3,0,false,,false,
3,Ratchet,18,4,90,false,,false,
3,Ironhide,3,17,270,false,,false,
3,Hound,6,17,270,false,,false,
3,Smokescreen,9,17,270,false,,false,
3,Megatron,12,17,270,false,,false,
3,Bluestreak,15,17,270,false,,false,
3,RedAlert,18,17,270,false,,false,
4,Optimus,3,5,90,false,,false,
4,Bumblebee,3,1,180,false,,false,
4,Jazz,6,1,180,false,,false,
4,Sideswipe,13,3,0,false,,false,
4,Wheeljack,16,3,0,false,,false,
4,Ratchet,18,5,90,false,,false,
4,Ironhide,3,16,270,false,,false,
4,Hound,6,17,180,false,,false,
4,Smokescreen,9,17,180,false,,false,
4,Megatron,12,17,0,false,,false,
4,Bluestreak,15,17,0,false,,false,
4,RedAlert,18,16,270,false,,false,
5,Optimus,3,6,90,false,,false,
5,Bumblebee,2,1,180,false,,false,
5,Jazz,5,1,180,false,,false,
5,Sideswipe,14,3,0,false,,false,
