task_id,destination_id,destination_label,material,release_time,window_start,window_end,priority
T0014,DP-140C-01,140C,M1,0,22,94,Normal
T0011,DP-130B-01,130B,M1,0,23,97,Normal
T0023,DP-140C-02,140C,M5,0,24,76,Normal
T0004,DP-209C-01,209C,M5,0,26,78,Normal
T0008,DP-200B-01,200B,M1,0,26,101,Normal
T0021,DP-140A-02,140A,M2,0,26,100,Normal
T0034,DP-200A-04,200A,M2,0,26,75,Normal
T0015,DP-150-01,150,M2,0,28,87,Normal
T0012,DP-140A-01,140A,M5,0,29,100,Normal
T0028,DP-130A-03,130A,M5,0,32,89,Normal
T0031,DP-140B-03,140B,M1,1,33,83,Normal
T0005,DP-209B-01,209B,M4,2,37,88,Normal
T0026,DP-200B-03,200B,M1,3,22,91,Normal
T0009,DP-200C-01,200C,M3,3,32,80,Normal
T0022,DP-140B-02,140B,M2,3,35,92,Normal
T0016,DP-200A-02,200A,M1,5,31,82,Normal
T0017,DP-200B-02,200B,M2,5,40,90,Normal
T0002,DP-209E-01,209E,M5,6,27,76,Normal
T0006,DP-209A-01,209A,M1,8,34,97,Normal
T0018,DP-200C-02,200C,M5,8,34,91,Normal
T0010,DP-130A-01,130A,M4,9,28,98,Normal
T0025,DP-200A-03,200A,M5,9,31,83,Normal
T0027,DP-200C-03,200C,M5,9,40,90,Normal
T0036,DP-200C-04,200C,M1,12,30,90,Normal
T0024,DP-150-02,150,M5,12,43,106,Normal
T0032,DP-140C-03,140C,M5,13,36,105,Normal
T0007,DP-200A-01,200A,M3,14,42,100,Normal
T0020,DP-130B-02,130B,M3,15,45,100,Normal
T0030,DP-140A-03,140A,M1,16,44,97,Normal
T0035,DP-200B-04,200B,M1,16,50,119,Normal
T0029,DP-130B-03,130B,M1,19,37,109,Normal
T0003,DP-209D-01,209D,M1,19,38,96,Normal
T0033,DP-150-03,150,M5,20,47,112,Normal
T0001,DP-209F-01,209F,M3,22,40,88,Normal
T0019,DP-130A-02,130A,M2,22,41,96,Normal
T0013,DP-140B-01,140B,M2,23,42,89,Normal
